StudentID,CourseID,Semester,Grade
10003827,47,Summer22,A
7005838,37,Winter21,C+
7004848,13,Spring22,D
10006840,15,Spring21,B-
10006840,14,Summer21,B-
7001823,21,Spring22,A+
10003857,21,Spring22,B+
7005806,15,Winter21,B
10004867,43,Winter23,D
7004848,12,Spring22,D
7004848,31,Spring22,B+
10003857,44,Summer23,A
10003823,48,Summer21,A
10006840,26,Spring23,C-
10006476,35,Winter22,C-
10003823,16,Spring21,A+
7036808,41,Winter22,B+
10002859,33,Summer22,A-
10003857,11,Spring22,B+
7004827,24,Winter22,C-
7004848,26,Summer23,A+
10003898,45,Winter23,A+
10003827,32,Summer23,C-
7036820,12,Spring23,A-
7005838,32,Spring23,A+
10003823,47,Summer23,C+
7005838,24,Spring21,C
10006840,44,Winter21,C+
10003857,43,Summer22,A+
7001823,32,Winter23,D
10002859,22,Winter23,A
7004848,36,Winter21,B-
10004867,21,Spring21,B+
10004867,27,Spring21,B-
10006840,43,Spring22,B-
10002859,31,Winter21,C+
7002849,36,Spring23,A+
10004867,45,Spring21,A+
7036808,47,Summer22,A+
10002859,23,Winter22,C
7005806,23,Summer22,A
7036820,21,Spring21,C
10004867,32,Summer21,C+
7005806,14,Spring21,B+
10003827,41,Summer21,D+
10002859,37,Winter22,D
7005806,11,Winter22,A+
7005806,12,Winter22,A
7005806,13,Winter22,A-
7005806,14,Winter22,B+
7005806,15,Winter22,B
7005806,16,Winter22,B-
7005806,21,Winter22,C+
7005806,22,Winter22,C
7005806,23,Winter22,C-
7005806,24,Winter22,D+
7005806,25,Winter22,D
7005806,26,Winter22,F
7002849,48,Winter23,A+
